Run,Date,Season,Temperature,pH,Chlorine,Ammonium,Nitrate,Nitrite,Non_ICC,ICC,Alphaproteobacteria,Betaproteobacteria,Nitrospira,Gammaproteobacteria,Actinobacteria,Planctomycetia,Oligoflexia,Flavobacteriia,Gemmatimonadetes,Chitinophagia,TCC
Run#001_030119,3/1/19,Spring,22.55,9.11,1.43,29.65,6.45,0.17,15.00,5.00,32.6,5.93,5.37,0.987,0.694,0.711,0.16,0.111,0.138,0.0618,20
Run#005_031519,3/15/19,Spring,22.85,9.24,1.44,16.15,8.87,0.11,22.00,9.00,33.7,6.79,4.68,0.487,0.703,0.694,0.258,0.0689,0.243,0.0757,31
Run#010_040219,4/2/19,Spring,18.90,9.29,1.71,29.36,11.29,0.13,31.00,15.00,24.5,9.39,3.92,0.321,0.55,0.416,0.663,0.101,0.273,0.108,46
Run#015_041919,4/19/19,Spring,22.80,9.30,1.22,28.58,8.06,0.22,30.00,14.00,23.2,5.16,1.72,0.394,0.75,0.284,0.556,0.178,0.179,0.203,44
Run#020_050719,5/7/19,Spring,22.85,9.30,0.93,26.62,8.06,0.51,40.00,19.00,21.2,4.59,1.17,0.584,0.421,0.445,0.726,0.514,0.123,0.185,59
Run#025_052419,5/24/19,Spring,21.40,9.60,1.42,29.36,9.68,0.23,33.00,9.00,19.1,5.71,1.01,0.892,0.442,0.877,0.502,1.32,0.131,0.162,42
Run#030_061119,6/11/19,Summer,22.90,9.50,1.37,29.95,17.74,0.32,39.00,12.00,20.7,7.81,1.94,0.917,0.701,0.469,0.438,0.535,0.227,0.305,51
Run#035_062519,6/28/19,Summer,22.25,9.57,1.38,28.77,14.51,0.64,32.00,10.00,18,6.51,1.64,1.59,0.695,0.71,0.68,0.489,0.194,0.321,42
Run#040_071619,7/16/19,Summer,22.00,9.43,1.71,31.32,16.13,0.62,27.00,8.00,19,9.2,2.62,3.22,1.01,0.234,0.366,0.321,0.447,0.387,35
Run#045_080219,8/2/19,Summer,22.70,9.59,1.94,32.00,13.71,0.57,23.00,4.00,21.5,8.33,2.97,2.21,1.1,0.339,0.449,0.275,0.488,0.198,27
Run#050_082019,8/20/19,Summer,22.70,9.58,1.70,29.95,8.87,0.55,35.00,7.00,21.7,6.56,2.87,1.24,1.06,0.287,0.531,0.179,0.439,0.251,42
Run#055_090619,9/6/19,Fall,22.35,9.65,1.67,29.55,11.29,0.51,52.00,12.00,23.6,5.79,2.12,0.897,0.992,0.314,0.319,0.133,0.373,0.17,64
